flex1,flex2,flex3,flex4,flex5,gyroRotX,gyroRotY,gyroRotZ,gyroAccX,gyroAccY,gyroAccZ,Alphabet
268,29,62,57,42,-2.05,9.4,-1.42,-0.15,-0.02,0,A
268,28,62,56,42,-2.27,9.37,-0.74,-0.17,0.01,0.03,A
268,28,62,56,42,-1.89,9.65,-1.02,-0.1,-0.05,0.1,A
268,28,62,56,42,-1.82,9.28,-0.94,-0.08,-0.06,0.03,A
268,28,62,56,42,-2.37,9.39,-1.32,-0.08,0.02,-0.01,A
268,29,62,57,42,-2.44,9.43,-1.08,-0.12,-0.01,0.07,A
268,28,62,57,42,-1.91,9.44,-1.19,-0.1,-0.08,0.06,A
268,29,61,56,42,-1.96,9.49,-1.21,-0.11,0.1,0.05,A
268,28,62,57,41,-1.78,9.4,-1.19,-0.13,0.01,0.03,A
268,29,62,56,42,-2.29,9.4,-0.98,-0.16,0.04,0,A
268,29,62,56,42,-2.23,9.43,-0.87,-0.08,-0.01,0.06,A
268,28,62,57,42,-1.85,9.49,-1.24,-0.06,-0.04,0.03,A
268,28,62,56,42,-2.03,9.39,-1.09,-0.12,0.03,0.03,A
268,28,62,56,42,-1.96,9.49,-0.84,-0.07,-0.03,0.04,A
268,29,62,56,42,-1.93,9.35,-1.31,-0.05,0.01,0.03,A
268,28,62,56,42,-2.01,9.34,-1.39,-0.11,0.02,-0.01,A
268,29,62,56,42,-2.01,9.45,-0.84,-0.11,0,0.02,A
268,29,62,57,42,-1.86,9.56,-1.15,-0.07,-0.03,0,A
268,28,62,57,42,-1.99,9.42,-1.28,-0.07,0.01,0.02,A
268,29,62,56,42,-1.91,9.45,-1.34,-0.09,-0.23,0.07,A
268,29,62,56,42,-2.07,9.41,-0.94,-0.1,0.05,0.05,A
268,29,62,56,42,-1.88,9.41,-1.35,-0.1,-0.14,0.02,A
268,29,62,57,42,-1.87,9.43,-1.13,-0.12,-0.05,0.03,A
268,28,62,57,42,-1.79,9.48,-1.18,-0.1,0.03,0.02,A
268,28,62,57,42,-1.94,9.42,-1.18,-0.1,0,0.02,A
268,29,62,57,42,-1.78,9.53,-1.27,-0.08,-0.04,-0.01,A
268,29,62,57,42,-1.97,9.34,-1.06,-0.11,0.05,-0.01,A
268,28,62,57,42,-1.88,9.41,-1.3,-0.08,-0.03,-0.02,A
268,28,62,57,42,-2.01,9.39,-1.24,-0.1,0.01,0,A
268,28,62,57,42,-1.97,9.45,-1.26,-0.08,-0.01,-0.02,A
268,29,62,57,42,-1.99,9.41,-1.28,-0.09,-0.04,-0.02,A
268,28,62,57,42,-2.18,9.39,-0.99,-0.08,-0.03,0.01,A
268,29,62,57,42,-2.1,9.4,-1.13,-0.06,0.03,0.01,A
268,29,62,57,42,-2.14,9.42,-1.58,-0.06,-0.05,0.02,A
268,28,62,57,42,-2.03,9.49,-1.58,-0.12,0.06,0.02,A
268,28,62,57,42,-1.96,9.37,-1.14,-0.14,0.03,0,A
268,29,62,57,42,-1.92,9.39,-1.16,-0.09,-0.07,0.01,A
268,29,62,57,42,-2,9.52,-1.35,-0.1,-0.06,0.02,A
268,29,62,56,42,-2.07,9.42,-1.28,-0.12,0.01,0.01,A
268,29,62,57,42,-2.12,9.43,-1.36,-0.11,0.03,0.03,A
268,28,62,57,42,-2.02,9.43,-1.15,-0.11,-0.02,0.01,A
268,29,62,57,42,-2.19,9.33,-1.36,-0.07,-0.01,0.01,A
268,29,62,57,42,-1.99,9.37,-1.41,-0.1,0,0.01,A
267,29,62,57,42,-1.95,9.43,-1.3,-0.14,-0.06,0.01,A
267,29,62,57,42,-1.93,9.42,-1.21,-0.1,-0.03,0.01,A
268,28,62,57,42,-1.92,9.49,-1.35,-0.11,-0.02,-0.01,A
268,29,62,57,42,-2.04,9.36,-1.17,-0.13,0.04,-0.02,A
268,28,62,57,42,-2.25,9.32,-1.22,-0.13,-0.02,0.03,A
267,29,62,57,42,-2.01,9.45,-1.3,-0.11,0.02,0.02,A
268,28,62,57,42,-2.07,9.5,-1.44,-0.1,-0.01,0.03,A
267,29,62,57,42,-1.87,9.44,-1.24,-0.11,-0.01,0.01,A
267,29,62,57,42,-2.12,9.43,-1.24,-0.09,0.02,-0.03,A
267,29,62,57,42,-2.09,9.38,-1.28,-0.09,-0.05,-0.02,A
267,28,62,57,42,-2.18,9.37,-1.21,-0.1,0.04,0.01,A
267,29,62,57,42,-2,9.46,-1.36,-0.09,0.01,0.01,A
267,29,62,57,42,-1.98,9.39,-1.43,-0.11,-0.07,-0.01,A
267,28,62,57,42,-2.27,9.31,-1.23,-0.13,0.02,0,A
267,29,62,57,42,-2.13,9.42,-1.21,-0.11,-0.08,0.04,A
267,29,62,57,42,-1.94,9.52,-1.15,-0.11,0,0.03,A
267,29,62,57,42,-2,9.43,-1.31,-0.08,-0.02,-0.02,A
267,29,62,57,42,-2.13,9.33,-1.37,-0.11,-0.06,0.01,A
267,29,62,57,42,-1.97,9.46,-1.27,-0.13,-0.01,0.04,A
267,28,62,57,42,-1.88,9.45,-1.31,-0.12,0.02,0.01,A
267,29,62,57,42,-2.05,9.46,-1.07,-0.1,-0.01,0,A
267,29,62,57,42,-2,9.4,-1.41,-0.09,0.02,0.01,A
267,29,62,57,42,-2.26,9.28,-1.42,-0.12,0.05,-0.01,A
267,29,62,57,42,-2.19,9.43,-1.27,-0.11,-0.03,0.02,A
267,29,62,57,42,-2.03,9.42,-1.32,-0.09,-0.01,0.01,A
267,29,62,57,42,-2.05,9.41,-1.28,-0.1,-0.01,0.02,A
267,29,63,57,42,-2.18,9.37,-1.35,-0.11,0.01,0.01,A
267,29,62,57,43,-2.01,9.39,-1.33,-0.09,-0.04,0,A
267,29,62,57,42,-2.15,9.4,-1.39,-0.11,-0.03,0.01,A
267,29,62,57,42,-2.32,9.35,-1.38,-0.09,0.08,0.01,A
268,29,62,57,42,-2.03,9.37,-1.56,-0.11,-0.05,0.02,A
267,29,62,57,42,-2.17,9.44,-1.37,-0.11,0.02,-0.01,A
